index,product,name,mrp_now,price_now,star1,star2,star3,star4,star5,mrp_then,price_then
28,facemasks,"Boldfit N95 mask for face (Pack of 5) Anti Pollution, protective. Third Party Tested by manufacturer at SGS & Ministry of Textiles",750.0,599.0,54.0,6.0,7.0,16.0,54.0,,
29,facemasks,Generic (unbranded) Neoprene Half Face Bike Riding Mask (Black),299.0,79.0,27.0,12.0,18.0,17.0,27.0,,
30,facemasks,"Lionsmill New Anti-Pollution Dust polyester face Mask For kids Boys Girls Unisex (Set Of 3) Multicolor cartoon masks (peppa pig, kids size)",498.0,230.0,23.0,16.0,8.0,18.0,23.0,,
31,facemasks,Vocado Bike Riding and Cycling Anti Pollution Dust Half Ninja Face Cover Mask (Black),199.0,89.0,31.0,11.0,14.0,19.0,31.0,,
32,facemasks,"BISMAADH BSIMAADH Face Mask Pro+ for Bike, Ski, Cycling, Running, Hiking - Protects from Wind, Sun, Dust - 4 Way Stretch - Face Protection Balaclavas",599.0,275.0,51.0,7.0,9.0,19.0,51.0,,
33,facemasks,Vocado Bike Riding & Cycling Anti Pollution Dust Sun Protecion Half Ninja Face Cover Mask (Black),299.0,139.0,29.0,8.0,17.0,13.0,29.0,,
34,facemasks,"Biotique Bio Fruit Whitening And Depigmentation & Tan Removal Face Pack, 75g",199.0,136.0,47.0,5.0,13.0,28.0,47.0,,
35,facemasks,"PrimeBox Men's Anti Pollution Dust Protection Face Mask for Bikers (Black, Free Size)",399.0,100.0,39.0,9.0,12.0,18.0,39.0,,
36,facemasks,"BAGHADBILLO Cotton double layered Reusable Cotton Mouth Nose Face Mask, Anti Pollution Bike/Scooter Driving Protection for Filtering The Air, Free Size (White 1 Pack of 5)",2999.0,249.0,22.0,10.0,16.0,16.0,22.0,,
37,facemasks,Marcloire Standard Size Adult ISO CE certified Reusable/Washable 5-Layered Outdoor Protection Face Mask with Improved Ear Loops for Men/Women(Pack of 3) (Multi-Color),599.0,399.0,18.0,30.0,18.0,18.0,18.0,,
38,facemasks,Collectible India Men's and Women's Cotton Anti Pollution Dustproof/Block Print Reusable Washable Face Mask - Pack of 4,599.0,158.0,22.0,13.0,3.0,15.0,22.0,,
39,facemasks,Autofy SET OF 3 Unisex Anti Pollution Disposable Washable Face Mask For Men Women (Black),599.0,164.0,39.0,12.0,8.0,8.0,39.0,,
40,facemasks,YAPZONE Beautiful Supreme logo printed face mask,299.0,139.0,0.0,0.0,0.0,0.0,0.0,,
41,facemasks,One8 Select By Virat Kohli 3D Mesh Mask Made in India Standard Size CE Certified Reusable/Washable 4-Layered Outdoor Protection Face Mask (Pack of 3)(Black),499.0,399.0,50.0,0.0,0.0,0.0,50.0,,
42,facemasks,womaniyaweb Unisex Cartoon Masks Washable Cotton Mask Anti-dust Reusable Black Mouth Mask Outdoor Health Windproof Protective Face Mask (3 piece),599.0,215.0,0.0,0.0,0.0,0.0,0.0,,
43,facemasks,Paidu® N95-MS-6-10Pollution mask washable reusable N95 mask washable Respirator Pollution Breathable KN95 mask Face Mask for Men Women Kids 5 Layers Protection with melt Blown Fabric (Pack of 5unit),1999.0,319.0,0.0,0.0,0.0,0.0,0.0,,
44,facemasks,THE BLAZZE 2002 Women Anti-Dust Anti Pollution Reusable Washable Wind and Dust Proof Safety Dual Filter Face Mouth Mask (Black),399.0,199.0,13.0,21.0,0.0,37.0,13.0,,
45,facemasks,Men and Women face mask for Bike Rider Protect from Pollution on Road White,499.0,124.0,0.0,0.0,0.0,0.0,0.0,,
46,facemasks,Amazon Brand - Symbol Men's cotton Cloth Face Mask (Pack of 5) (SMK-03-PO3-J_Multicoloured_One Size),399.0,329.0,64.0,0.0,18.0,18.0,64.0,,
47,facemasks,GeekTitan 3 PLY Anti-Pollution Disposable Surgical Medical Earloop Face Mouth Masks (50pc),800.0,299.0,0.0,0.0,0.0,0.0,0.0,,
48,facemasks,"Acceptive's Bandana Bikers Motorcycle Riding Neck Face Mask Protection Tube Head Bands (Pack of 5,Random Colours)",499.0,276.0,35.0,8.0,18.0,25.0,35.0,,
49,facemasks,"ProCare Protect N95 Face Mask (by Charge Zero) CE Certified ISO 9001:2015 Certified, Special Anti-Bacterial Mask (Washable, Unisex) (Pack of 5) (Multicolour N95 Face Mask with Respiratory Valve)",599.0,192.0,48.0,5.0,6.0,21.0,48.0,,
50,facemasks,Shocknshop Cotton Multicolor Printed Reusable And Washable Face Mask - Pack of 3,899.0,299.0,36.0,21.0,0.0,22.0,36.0,,
51,facemasks,YAPZONE Psyduck pokemon professional look like a doctor printed face mask for kids,299.0,139.0,0.0,0.0,0.0,0.0,0.0,,
52,facemasks,"DR VAKU® KN95 Filter Respirator Face Mask, Reusable to Protect Mouth Droplets, Dust and Pollution (Pack of 1)",499.0,40.0,47.0,0.0,0.0,20.0,47.0,,
53,facemasks,SNDIA Unisex Bandana Face Mask Protection for Bikers (4-PACK),399.0,249.0,27.0,12.0,14.0,20.0,27.0,,
54,facemasks,"COTTON FIELD UV Face Mask - Neck Gaiter for Dust & Sun Protection - Face Cover/Scarf forOutdoor/indoor, Travelling - UPF 30 Breathable Summer 12-in-1 Headwear (Pack Of 2) (Black)",599.0,330.0,0.0,0.0,0.0,0.0,0.0,,
55,facemasks,"Plum Green Tea Clear Face Mask (60gm), For Oily & Acne Prone Skin, Vegan Skin Care",490.0,367.0,49.0,5.0,13.0,24.0,49.0,,
56,facemasks,RSM 5 Layers Antibacterial KN95 Safety Mask With Air Filter-Reusable (Pack of 4),349.0,170.0,0.0,0.0,0.0,0.0,0.0,,
57,facemasks,"Bella Vita Organic Mini Vegan Face Pack Brush For Face Mask For Women & Men, 2 Pack, No Animal Hair With Natural Wooden Handle",499.0,199.0,54.0,5.0,9.0,25.0,54.0,,
58,facemasks,BROCCOLIN New Anti-Pollution Dust Cotton designing hand work Face Mask For Girls (Set Of 4),599.0,399.0,50.0,14.0,22.0,14.0,50.0,,
