crawl_timestamp,category,product_title,mrp,price,product_asin,mrp_now,price_now,star1,star2,star3,star4,star5
2019-10-29 03:17:03 +0000,Bath & Shower,Khadi Shivalik Haldi Chandan Soap 625gm (Pack of 5),400.0,370.0,B07RN599NL, ₹ 400.00,₹ 355.00,0,0,0,0,0
2019-10-30 14:07:58 +0000,Skin Care," Raintech Sandawood/Chandan Powder, 50gm ",750.0,380.0,B07FZ4LSFV, ₹ 750.00,₹ 399.00,0,0,0,0,0
2019-10-30 02:15:46 +0000,Bath & Shower,SYSPRO Handmade Combo Of 2 Soap Kesar Chandan & Charcoal Goat Milk Soap For Glowing Skin Natural Herbal Organic Cleanser Soap Beauty Bath & Shower Soaps,599.0,239.0,B07T89NP13, ₹ 599.00,₹ 239.00,0,0,0,0,0
2019-10-30 19:25:54 +0000,Skin Care," QRAA Haldi Chandan Skin Brightening/Lightening Face Wash For Oil/Acne/Pimple Control, 100 g ",290.0,200.0,B07V6LJ9LN, ₹ 290.00,nill,0,0,0,0,0
2019-10-29 02:57:48 +0000,Bath & Shower,Pals World Dr. Pallavi Naturo Care Handmade Ayurveda Medicine Soap Sulfate-Free/Herbal Extract (Golden Kesar Chandan),450.0,400.0,B00PNTQ50W, ₹ 500.00,₹ 399.00,0,0,0,0,0
2019-10-30 13:29:44 +0000,Grocery & Gourmet Foods,SUGARIN Cake Master Samie J Ramchandrans Master Choice,1360.0,1111.0,B01M9FFCIW," ₹ 1,360.00","₹ 1,111.00",0,0,0,0,0
2019-10-28 23:33:56 +0000,Skin Care,SaioStore Sandalwood Powder/Santhanam Powder/Channanam Powder/Chandan powder-200g,600.0,229.0,B07TP8T9L9, ₹ 600.00,₹ 229.00,0,0,0,0,0
2019-10-28 20:32:30 +0000,Skin Care,Khadi Skin Brightening Haldi and Chandan Face Wash || Herbal And Natural || 200 ml,,,B07XC8N2PN, ₹ 380.00,₹ 249.00,0,0,0,0,0
2019-10-30 02:09:14 +0000,Skin Care,Raintech Natural Redsandal Powder/Rakthachandana Podi/Laal Chandan For Face Pack - 100 Gms *2,1200.0,290.0,B07YHS7C3N," ₹ 1,200.00",nill,0,0,0,0,0
2019-10-30 05:29:15 +0000,Bath & Shower," eGalaxy - Khadi Natural Watermelon Soap, 125g each soap â€“ (Pack of 2) ",140.0,124.0,B07M7PPF3B, ₹ 140.00,₹ 124.00,0,0,0,0,0
2019-10-31 09:25:18 +0000,Skin Care,Thanaka powder 50g & kusumba oil 50ml with Thanaka Glycerin soap 125g for free hair removal product,1199.0,999.0,B07W7ZFCCJ," ₹ 1,199.00",₹ 999.00,0,0,0,0,0
