url,product,name,mrp,discounted,star5,star4,star3,star2,star1
https://www.flipkart.com/daiyamondo-pack-100-disposable-3-ply-surgical-face-mask-earloop-great-air-pollution-virus-1000-free-size-pack-100-ply/p/itm250f7cf8445bb?pid=MRPFSHXUNUXSWGFF&lid=LSTMRPFSHXUNUXSWGFFNF7JWJ&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFSHXUNUXSWGFF.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Daiyamondo (PACK OF 100) Disposable 3 Ply Surgical Face Mask with Earloop, Great for Air Pollution Virus Mask (PACK OF 1000) Disposable 3 Ply Surgical Face Mask with Earloop, Great for Air Pollution Virus Mask Surgical Mask (free size, Pack of 100, 3 Ply) Surgical Mask  (Free Size, Pack of 100, 3 Ply)",1000,225,166.0,88.0,69.0,38.0,45.0
https://www.flipkart.com/rbc-reusable-washable-pollution-free-n95-mask-men-women-multi-color-size-5-layer-mask/p/itm461753f3437e8?pid=MRPFU95EMYRZ6QTW&lid=LSTMRPFU95EMYRZ6QTWKLLTPV&marketplace=FLIPKART&srno=s_1_12&otracker=search&fm=organic&iid=en_uNUT1nrjQzv4D2jgEwV%2FzPNvhSZB6Nm3GTUov51biUNtnY8SuST1%2ByBQWpQFyOsKI00xzpEBBO%2F%2B%2BkwMk11o9A%3D%3D&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"RBC Reusable,Washable and Pollution Free N95 Mask For Men And Women Multi Color Mask And Free Size 5 Layer Mask.  (Multicolor, Free Size, Pack of 5)",299,222,-1.0,-1.0,-1.0,-1.0,-1.0
https://www.flipkart.com/nhr-surgical-face-mask-anti-pollution-3-ply-mask-iso-9001-2015-certification-pack-40-sg-40/p/itm3f2c3236ae527?pid=MRPFRYGDWYY5Y7G4&lid=LSTMRPFRYGDWYY5Y7G4GAWAA9&marketplace=FLIPKART&srno=s_1_13&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFRYGDWYY5Y7G4.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"NHR Surgical Face Mask, Anti Pollution, 3 Ply Face Mask with ISO 9001:2015 Certification (Pack of 40) SG-40 Surgical Mask  (Blue, Free Size, Pack of 40, 3 Ply)",400,249,606.0,298.0,228.0,137.0,272.0
https://www.flipkart.com/medipol-plus-3ply-disposable-protect-water-resistant-surgical-mask-melt-blown-fabric-layer/p/itm5aeab01a6ff9e?pid=MRPFT34KPRRZJXQQ&lid=LSTMRPFT34KPRRZJXQQZ1CNUC&marketplace=FLIPKART&srno=s_1_14&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFT34KPRRZJXQQ.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Medipol Plus 3ply disposable Protect Water Resistant Surgical Mask With Melt Blown Fabric Layer  (Blue, Free Size, Pack of 50, 3 Ply)",800,359,90.0,46.0,26.0,9.0,8.0
https://www.flipkart.com/vebnor-250-units-disposable-3-layer-pharmaceutical-breathable-surgical-pollution-face-mask-respirator-ply-men-women-kids-250-piece/p/itm399509dae85e2?pid=MRPFSA2VPTAUZBT2&lid=LSTMRPFSA2VPTAUZBT2QMTLCO&marketplace=FLIPKART&srno=s_1_15&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFSA2VPTAUZBT2.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"VeBNoR 250 Units Disposable 3 Layer Pharmaceutical Breathable Surgical Pollution Face Mask Respirator with 3 Ply For Men, Women, Kids 3 Ply Surgical Mask (250 Piece) Surgical Mask  (Blue, Free Size, Pack of 250, 3 Ply)",2000,459,103.0,65.0,46.0,9.0,21.0
https://www.flipkart.com/lino-perros-mask00011multicolor-cloth-mask/p/itmf3184e7915762?pid=MRPFU52GWB2NZFN2&lid=LSTMRPFU52GWB2NZFN2SF5VYA&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=en_uNUT1nrjQzv4D2jgEwV%2FzPNvhSZB6Nm3GTUov51biUM8LURhvhqOIzNW97SeZWVTmYnHzGL9%2B21j78WEbtvp4A%3D%3D&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Lino Perros MASK00011MULTICOLOR Cloth Mask  (Free Size, Pack of 3)",699,489,-1.0,-1.0,-1.0,-1.0,-1.0
https://www.flipkart.com/syga-1-piece-pesticide-formaldehyde-paint-spray-protection-mask-activated-carbon-double-tank-respirator-silicone-antivirus-half-protectionmask1/p/itma9cc5a864f08d?pid=MRPFSZTHDNDGGRZE&lid=LSTMRPFSZTHDNDGGRZEKKPER3&marketplace=FLIPKART&srno=s_1_17&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFSZTHDNDGGRZE.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"SYGA 1 Piece Pesticide Formaldehyde Paint Spray Protection Mask Activated Carbon Double Tank Respirator Silicone Antivirus Half Mask ProtectionMask1  (Multicolor, Free Size, Pack of 1)",650,499,37.0,12.0,5.0,3.0,13.0
https://www.flipkart.com/d-poly-kn95-n95-washable-reusable-mask-6-layers-melt-blown-filter-wsx-2007-water-resistant-reusable/p/itme94a027a4fab6?pid=MRPFSJAFGTTW2YFR&lid=LSTMRPFSJAFGTTW2YFRT7GJAV&marketplace=FLIPKART&srno=s_1_18&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFSJAFGTTW2YFR.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"D.POLY KN95/N95 WASHABLE AND REUSABLE MASK WITH 6 LAYERS AND MELT BLOWN FILTER WSX-2007 Water Resistant, Reusable, Washable  (White, Free Size, Pack of 5)",999,178,23.0,14.0,9.0,2.0,5.0
https://www.flipkart.com/altek-n95-face-mask-protection-blue-pack-5-asmhblue5-reusable-washable/p/itm6b08fc3f8bbb3?pid=MRPFTYU5KC77GHVG&lid=LSTMRPFTYU5KC77GHVGZZLLTW&marketplace=FLIPKART&srno=s_1_19&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFTYU5KC77GHVG.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"ALTEK N95 FACE MASK FOR PROTECTION (BLUE) PACK OF 5 ASMHBLUE5 Reusable, Washable  (Blue, Free Size, Pack of 5)",750,249,74.0,69.0,22.0,6.0,5.0
https://www.flipkart.com/bildos-n95-mask-washable-n-95-hot-air-cotton-sponge-layer-easy-breathing-reusable/p/itmfcc284e19e6e6?pid=MRPFUFTE6ZWZECCZ&lid=LSTMRPFUFTE6ZWZECCZM91MGW&marketplace=FLIPKART&srno=s_1_20&otracker=search&fm=organic&iid=en_uNUT1nrjQzv4D2jgEwV%2FzPNvhSZB6Nm3GTUov51biUPdXnOAP40%2FT7N8ZBA92g3z4sk2r%2FddUR62ENHbvaPAsg%3D%3D&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Bildos N95 Mask Washable N-95 with Hot air Cotton Sponge Layer For Easy Breathing Reusable  (Multicolor, Free Size, Pack of 5)",999,399,-1.0,-1.0,-1.0,-1.0,-1.0
https://www.flipkart.com/asian-washable-reusable-face-masks-germ-protection-6-layer-mask-respirator-anti-virus-air-pollution-dust-pack-1-black-mouth-cover-respirator-1001cblk-m1/p/itm385c57abf7eb9?pid=MRPFRNCYWV6VQWZM&lid=LSTMRPFRNCYWV6VQWZMLLDXTV&marketplace=FLIPKART&srno=s_1_21&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFRNCYWV6VQWZM.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Asian washable reusable face masks for germ protection | 6 layer face mask with respirator | Anti virus, air pollution, dust | Pack of 1 black mouth cover MASK RESPIRATOR-1001cBLK-M1 Reusable  (Black, Free Size, Pack of 1)",149,125,2906.0,1939.0,1246.0,453.0,670.0
https://www.flipkart.com/shield-india-n95-kn95-5-layer-reusable-washable-face-mask-without-filter-men-women-kids-fda-ce-certified-charcoal-black-light-grey-free-size-pack-4-reusable-washable/p/itm624d803fb53d6?pid=MRPFTHPYYNXQRA4Y&lid=LSTMRPFTHPYYNXQRA4YWHKXUN&marketplace=FLIPKART&srno=s_1_22&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFTHPYYNXQRA4Y.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"SHIELD INDIA SHIELD INDIA N95/KN95 5 Layer Reusable/Washable Face Mask without Filter for Men Women Kids FDA, CE CERTIFIED (CHARCOAL BLACK &amp; LIGHT GREY-FREE SIZE-Pack of 4) Reusable, Washable N95/KN95 5 Layer Reusable/Washable Face Mask without Filter for Men Women Kids FDA, CE CERTIFIED (CHARCOAL BLACK &amp; LIGHT GREY-FREE SIZE-Pack of 4) Reusable, Washable  (Black, Grey, Free Size, Pack of 4)",799,192,65.0,58.0,31.0,5.0,11.0
https://www.flipkart.com/swadeshi-filter-pro-5-layer-triple-particle-filtration-system-fda-iso-13485-appoved-swds-ylw-1-swds-gry-b-1-swds-wht-1-reusable-washable/p/itmacb4b6c4c7dcf?pid=MRPFTYY6BHGU3HQM&lid=LSTMRPFTYY6BHGU3HQMV94NZN&marketplace=FLIPKART&srno=s_1_23&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFTYY6BHGU3HQM.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Swadeshi Filter Pro 5 Layer Triple Particle Filtration System FDA and ISO 13485 Appoved SWDS-YLW-1+SWDS-GRY-B-1+SWDS-WHT-1 Reusable, Washable  (Free Size, Pack of 3)",1197,149,973.0,725.0,400.0,138.0,168.0
https://www.flipkart.com/bildos-6-pieces-n95-protective-mask-5-layer-ce-certified-multi-color-reusable-washable/p/itmb35e38463b58b?pid=MRPFTSXNGA9KWD3Y&lid=LSTMRPFTSXNGA9KWD3YQJ5B6V&marketplace=FLIPKART&srno=s_1_24&otracker=search&fm=organic&iid=en_uNUT1nrjQzv4D2jgEwV%2FzPNvhSZB6Nm3GTUov51biUO%2BMNgQrBa6zcN1YpDsxr93CU3sfXLgOZ5etZL%2BgM1gNw%3D%3D&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Bildos 6 pieces N95 Protective Mask with 5 Layer CE Certified Multi color N95 Mask Reusable, Washable  (Multicolor, Free Size, Pack of 6)",1800,500,1.0,1.0,1.0,0.0,0.0
https://www.flipkart.com/fort-collins-reusable-outdoor-protection-mask-101/p/itm41fdb15702758?pid=MRPFQV2HG6MPY64G&lid=LSTMRPFQV2HG6MPY64GK6LWFH&marketplace=FLIPKART&srno=s_1_25&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFQV2HG6MPY64G.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Fort Collins Reusable Outdoor Protection Mask 101  (Black, Free Size, Pack of 2)",199,125,690.0,521.0,352.0,165.0,176.0
https://www.flipkart.com/aadicare-500-pcs-3-ply-surgical-face-mask/p/itm2a260111bedcf?pid=MRPFSME8HGXAHD8C&lid=LSTMRPFSME8HGXAHD8CVATLI3&marketplace=FLIPKART&srno=s_1_26&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFSME8HGXAHD8C.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"AADICARE 500 pcs 3 PLY SURGICAL FACE MASK Surgical Mask  (Free Size, Pack of 500, 3 Ply)",1999,744,233.0,105.0,76.0,27.0,48.0
https://www.flipkart.com/bildos-inbuilt-nose-pin-ultrasonic-sealed-earloop-100pcs-surgical-mask-melt-blown-fabric-layer/p/itm0721a7a890864?pid=MRPFTGFKJABGUGBY&lid=LSTMRPFTGFKJABGUGBYXGFV66&marketplace=FLIPKART&srno=s_1_27&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFTGFKJABGUGBY.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Bildos with inbuilt nose pin and ultrasonic sealed earloop 100pcs Surgical Mask With Melt Blown Fabric Layer  (Blue, Free Size, Pack of 100, 3 Ply)",1000,570,190.0,108.0,30.0,18.0,19.0
https://www.flipkart.com/chhavi-india-100-surgical-mask/p/itm20da99ecb4d73?pid=MRPFRJZKXSQNGTFF&lid=LSTMRPFRJZKXSQNGTFFILY9SS&marketplace=FLIPKART&srno=s_1_28&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFRJZKXSQNGTFF.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Chhavi India 100 Surgical Mask  (Free Size, Pack of 100, 3 Ply)",999,229,1256.0,588.0,567.0,251.0,426.0
